ID,상임위,소관,세부사업,내역사업,지역성사업,예산,A,B,C
BG041,보건복지위원회,보건복지부,장사시설설치,인천가족공원 조성,1,2500,0,1,1
BG042,행정안전위원회,중앙선거관리위원회,선거장비및물품관리,0,0,2485,0,0,0
BG043,환경노동위원회,환경부,노후상수관망 정비(목포),0,1,2425,0,0,0
BG044,농림축산식품해양수산위원회,해양수산부,국가어항,어유정항 접안시설 정비,1,2310,0,0,0
BG045,환경노동위원회,환경부,노후상수관망 정비(군산),0,1,2249,0,0,0
BG046,국방위원회,방위사업청,탄도탄작전통제소성능 개량(R&D),0,0,2236,0,0,0
BG047,국방위원회,방위사업청,중어뢰-II,0,0,2200,0,0,0
BG048,교육위원회,교육부,학교 시민교육 활성화 사업,0,0,2140,0,0,0
BG049,보건복지위원회,보건복지부,장사시설설치,제주양지공원 화장시설 현대화,1,2100,0,1,1
BG050,산업통상자원중소벤처기업위원회,중소벤처기업부,ICT융합스마트공장보급확산,스마트마이스터 운영,0,2034,0,0,0
BG051,교육위원회,교육부,국립대학 시설확충,제주대 경상대학1호관 시설보수 사업,1,2000,0,1,0
BG052,문화체육관광위원회,문화재청,세계유산등재 및 보존 관리(보조),경주 양동마을 저잣 거리 조성,1,2000,0,0,0
BG053,산업통상자원중소벤처기업위원회,산업통상자원부,디자인산업진흥,디자인 주도 제조혁신센터,1,2000,0,0,0
BG054,보건복지위원회,보건복지부,농어촌보건소 등 이전 신축(농특),단양군 보건의료원 신축,1,2000,1,0,0
BG055,환경노동위원회,고용노동부,합리적 노사관계지원,노사동반성장 지원 센터 건립 지원,1,2000,0,0,0
BG056,국토교통위원회,국토교통부,일반철도안전및시설 개량,역 시설개량(동해역),1,2000,0,0,0
BG057,국토교통위원회,국토교통부,재정비촉진사업지원,대전 소제구역 중앙공원,1,2000,0,0,0
BG058,국토교통위원회,국토교통부,노선버스 운영체계 개편용역,0,0,2000,0,0,0
BG059,국토교통위원회,국토교통부,울릉도 소형공항 건설,0,1,2000,1,0,0
BG060,환경노동위원회,환경부,노후상수관망 정비,충주 단월 1 2정수장,1,1975,0,1,0
BG061,농림축산식품해양수산위원회,해양수산부,동북아 해양관광레저 특구 조성지원,0,1,1943,0,0,0
BG062,환경노동위원회,고용노동부,한국폴리텍대학운영지원,해양수산캠퍼스충남 서천 건립,1,1860,1,0,0
BG063,보건복지위원회,보건복지부,장애인차별금지 모니터링 및 인식개선,장애인권익옹호기관 운영지원 학대정보시스템 및 교육홍보,0,1741,0,0,0
BG064,농림축산식품해양수산위원회,해양수산부,목포신항,제2자동차부두 건설,1,1730,0,0,0
BG065,정무위원회,사회적참사 특별조사위원회,가습기살균제참사 진상 규명 조사,0,0,1720,0,1,0
BG066,환경노동위원회,환경부,하수처리장 확충,부산 사상구 분뇨처리시설,1,1700,0,0,0
BG067,보건복지위원회,보건복지부,장애인복지시설 기능보강,광주 공립 장애인 복합수련시설,1,1590,0,0,0
BG068,정무위원회,사회적참사 특별조사위원회,기관운영 기본경비(총액),0,0,1555,0,1,0
BG069,산업통상자원중소벤처기업위원회,산업통상자원부,광융합산업 플랫폼 공동 활용 사업화 지원,0,1,1500,0,0,0
BG070,산업통상자원중소벤처기업위원회,중소벤처기업부,ICT융합스마트공장보급확산,지역거점센터 운영부산,1,1500,0,0,0
BG071,보건복지위원회,보건복지부,장사시설설치,수원시 연화장 장사시설 개선,1,1500,0,1,1
BG072,환경노동위원회,환경부,국립생태원 출연,멸종위기동물보호시설 건립,0,1500,0,0,0
